indicator_a,indicator_b,correlation
WB_EG.CFT.ACCS.ZS,WB_IT.NET.USER.ZS,0.979691583782951
WB_SE.ADT.LITR.ZS,WB_SL.TLF.CACT.ZS,0.9708056232184894
WB_SE.ADT.LITR.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.970756776827574
WB_SE.ADT.LITR.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,0.9484528367474823
WB_AG.LND.AGRI.ZS,WB_SE.ADT.LITR.ZS,0.9325967534923715
WB_SE.ADT.LITR.ZS,WB_SP.POP.GROW,0.9220330933182461
WB_CC.PER.RNK,WB_EG.CFT.ACCS.ZS,0.9076855891020784
WB_IT.CEL.SETS.P2,WB_SE.ADT.LITR.ZS,0.8893159124246627
WB_CC.PER.RNK,WB_PV.PER.RNK,0.8876528664612313
WB_EG.CFT.ACCS.ZS,WB_SE.ADT.LITR.ZS,0.8747043806096864
WTO_SERVICES_TOTAL_EXPORTS,WTO_SERVICES_TRANSPORT_EXPORTS,0.8731592797955805
WB_CC.PER.RNK,WB_IT.NET.USER.ZS,0.8541814888835083
WB_IT.CEL.SETS.P2,WB_SL.TLF.CACT.ZS,0.8168967281124614
WB_NE.TRD.GNFS.ZS,WB_PV.PER.RNK,0.8077206851563195
WB_PV.PER.RNK,WB_SE.ADT.LITR.ZS,0.8035305521543008
WB_IT.NET.USER.ZS,WB_SE.ADT.LITR.ZS,0.8022923787699221
WB_IT.CEL.SETS.P2,WB_IT.NET.USER.ZS,0.7975932057462737
WB_EG.CFT.ACCS.ZS,WB_PV.PER.RNK,0.7941733487075474
WTO_SERVICES_POSTAL_COURIER_EXPORTS,WTO_SERVICES_TOTAL_EXPORTS,0.7932201208858763
WB_IT.NET.SECR.P6,WB_SE.ADT.LITR.ZS,0.7801659999981058
WB_SE.ADT.LITR.ZS,WTO_SERVICES_TOTAL_EXPORTS,0.7765676777749572
WB_EG.CFT.ACCS.ZS,WB_IT.CEL.SETS.P2,0.7650765402222639
WB_CC.PER.RNK,WB_SE.ADT.LITR.ZS,0.7630113849483832
WB_IT.NET.USER.ZS,WB_PV.PER.RNK,0.7427835197971638
WB_IT.CEL.SETS.P2,WB_PV.PER.RNK,0.7424137397051197
WTO_SERVICES_POSTAL_COURIER_EXPORTS,WTO_SERVICES_TRANSPORT_EXPORTS,0.7379940619767742
WB_IT.NET.USER.ZS,WB_SL.UEM.TOTL.ZS,0.7122907677128976
WB_CC.PER.RNK,WB_IT.CEL.SETS.P2,0.676667566259999
WTO_SERVICES_TOTAL_EXPORTS,WTO_SERVICES_TRAVEL_EXPORTS,0.6742453184018213
WB_EG.CFT.ACCS.ZS,WB_SL.UEM.TOTL.ZS,0.6739368430757927
WB_AG.LND.AGRI.ZS,WTO_SERVICES_TRAVEL_EXPORTS,-0.6639739682927861
WB_AG.LND.AGRI.ZS,WTO_SERVICES_TOTAL_EXPORTS,-0.6633404940483857
WB_SP.POP.GROW,WTO_SERVICES_TRANSPORT_EXPORTS,0.6622279459892161
WB_EG.CFT.ACCS.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.6434043715306371
WB_IT.NET.USER.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.6329024926351176
WB_PV.PER.RNK,WB_SL.TLF.CACT.ZS,0.6258837306264678
WB_EG.CFT.ACCS.ZS,WB_SL.TLF.CACT.ZS,0.6179457145264445
WB_CC.PER.RNK,WB_NY.GDP.PCAP.KD.ZG,-0.6174628181978735
WB_IT.NET.USER.ZS,WB_SL.TLF.CACT.ZS,0.6136410051649851
WTO_SERVICES_TRANSPORT_EXPORTS,WTO_SERVICES_TRAVEL_EXPORTS,0.6038699924808024
WB_SE.ADT.LITR.ZS,WB_SL.UEM.TOTL.ZS,0.5947142493477143
WB_IT.CEL.SETS.P2,WB_SL.UEM.TOTL.ZS,0.5835499089798195
WB_IT.CEL.SETS.P2,WB_NE.TRD.GNFS.ZS,0.577884895295961
WB_SL.TLF.CACT.ZS,WB_SL.UEM.TOTL.ZS,0.5673649477466612
WB_SP.POP.GROW,WTO_SERVICES_TOTAL_EXPORTS,0.5622629230869621
WB_SL.UEM.TOTL.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.5604058092256617
WB_CC.PER.RNK,WB_NE.TRD.GNFS.ZS,0.5558257750193613
WB_AG.LND.AGRI.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,-0.554553409408092
WB_SL.UEM.TOTL.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,0.5544384052797791
WB_SL.UEM.TOTL.ZS,WTO_SERVICES_TOTAL_EXPORTS,0.5529997105231821
WTO_SERVICES_POSTAL_COURIER_EXPORTS,WTO_SERVICES_TRAVEL_EXPORTS,0.5526872359205186
WB_NY.GDP.PCAP.KD.ZG,WB_PV.PER.RNK,-0.5501540076105317
WB_EG.CFT.ACCS.ZS,WB_IT.NET.SECR.P6,0.5451120972439605
WB_CC.PER.RNK,WB_IT.NET.SECR.P6,0.5442969284998094
WB_NE.TRD.GNFS.ZS,WB_SE.ADT.LITR.ZS,-0.542070814836435
WB_EG.CFT.ACCS.ZS,WB_NY.GDP.PCAP.KD.ZG,-0.542058435942217
WB_IT.CEL.SETS.P2,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.5337858940338015
WB_CC.PER.RNK,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.5329677755988472
WB_IT.NET.USER.ZS,WTO_SERVICES_TOTAL_EXPORTS,0.5314486005057627
WB_AG.LND.AGRI.ZS,WB_IT.NET.SECR.P6,0.5217170850927394
WB_IT.NET.SECR.P6,WB_IT.NET.USER.ZS,0.5187322472259657
WB_AG.LND.AGRI.ZS,WB_PV.PER.RNK,0.5067324573932795
WB_EG.CFT.ACCS.ZS,WTO_SERVICES_TOTAL_EXPORTS,0.487002052477895
WB_IT.NET.SECR.P6,WB_PV.PER.RNK,0.486159472733703
WB_CC.PER.RNK,WB_SL.UEM.TOTL.ZS,0.47329959684930245
WB_IT.NET.USER.ZS,WB_NY.GDP.PCAP.KD.ZG,-0.45987815336722293
WB_CC.PER.RNK,WB_SL.TLF.CACT.ZS,0.4583488705758055
WB_PV.PER.RNK,WB_SL.UEM.TOTL.ZS,0.4581173071426213
WB_AG.LND.AGRI.ZS,WB_SL.TLF.CACT.ZS,0.45539099292695673
WB_NE.TRD.GNFS.ZS,WB_SL.TLF.CACT.ZS,0.4494582716592249
WB_BX.KLT.DINV.WD.GD.ZS,WB_IT.NET.SECR.P6,-0.44556912087235195
WB_AG.LND.AGRI.ZS,WB_NE.TRD.GNFS.ZS,0.4352548874640114
WB_SL.UEM.TOTL.ZS,WTO_SERVICES_TRAVEL_EXPORTS,0.4287884950327549
WB_SL.TLF.CACT.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,0.4201951825838389
WB_IT.CEL.SETS.P2,WB_NY.GDP.PCAP.KD.ZG,-0.41267851065807015
WB_IT.CEL.SETS.P2,WTO_SERVICES_TRANSPORT_EXPORTS,0.40813630423044517
WB_SP.POP.GROW,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.39722074010193636
WB_NE.TRD.GNFS.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,-0.39693467974897734
WB_IT.NET.SECR.P6,WB_NY.GDP.PCAP.KD.ZG,-0.3950783167145902
WB_IT.CEL.SETS.P2,WTO_SERVICES_TOTAL_EXPORTS,0.39256786494907764
WB_EG.CFT.ACCS.ZS,WB_NE.TRD.GNFS.ZS,0.3782047109823298
WB_IT.NET.USER.ZS,WB_NE.TRD.GNFS.ZS,0.3765671062605188
WB_AG.LND.AGRI.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,-0.37531806026544223
WB_NE.TRD.GNFS.ZS,WB_SP.POP.GROW,-0.37369264875129593
WB_NE.TRD.GNFS.ZS,WB_NY.GDP.PCAP.KD.ZG,-0.3609941139228998
WB_SL.TLF.CACT.ZS,WB_SP.POP.GROW,0.350815452422616
WB_IT.NET.USER.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,0.3484926640868104
WB_IT.NET.USER.ZS,WB_SP.POP.GROW,0.33872343957432927
WB_NE.TRD.GNFS.ZS,WTO_SERVICES_TOTAL_EXPORTS,-0.32293693814837715
WB_SL.TLF.CACT.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.3189891957464287
WB_IT.NET.SECR.P6,WB_SL.UEM.TOTL.ZS,0.3119150564378
WB_IT.NET.SECR.P6,WB_NE.TRD.GNFS.ZS,0.31046908905225173
WB_IT.CEL.SETS.P2,WB_IT.NET.SECR.P6,0.31028199609212725
WB_NE.TRD.GNFS.ZS,WTO_SERVICES_TRAVEL_EXPORTS,-0.29979324562598175
WB_IT.CEL.SETS.P2,WB_SP.POP.GROW,0.2987145105928952
WB_EG.CFT.ACCS.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,0.2907815953214251
WB_EG.CFT.ACCS.ZS,WTO_SERVICES_TRAVEL_EXPORTS,0.2879372069560474
WB_EG.CFT.ACCS.ZS,WB_SP.POP.GROW,0.2742094712788305
WB_AG.LND.AGRI.ZS,WB_EG.CFT.ACCS.ZS,0.2725436811202813
WB_CC.PER.RNK,WTO_SERVICES_TOTAL_EXPORTS,0.26859861014370184
WB_IT.NET.USER.ZS,WTO_SERVICES_TRAVEL_EXPORTS,0.26510857434383445
WB_IT.NET.SECR.P6,WB_SL.TLF.CACT.ZS,0.2645613679438592
WB_SL.UEM.TOTL.ZS,WB_SP.POP.GROW,0.2561053602053913
WB_AG.LND.AGRI.ZS,WB_CC.PER.RNK,0.2560792128916007
WB_AG.LND.AGRI.ZS,WB_IT.CEL.SETS.P2,0.256024186418714
WB_BX.KLT.DINV.WD.GD.ZS,WB_NE.TRD.GNFS.ZS,-0.251570457334931
WB_NY.GDP.PCAP.KD.ZG,WTO_SERVICES_POSTAL_COURIER_EXPORTS,-0.24967776650518245
WB_PV.PER.RNK,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.24298719913737357
WB_NY.GDP.PCAP.KD.ZG,WB_SL.TLF.CACT.ZS,-0.24216695318543185
WB_AG.LND.AGRI.ZS,WB_NY.GDP.PCAP.KD.ZG,-0.21617527086193333
WB_AG.LND.AGRI.ZS,WB_IT.NET.USER.ZS,0.21423084604147596
WB_AG.LND.AGRI.ZS,WB_BX.KLT.DINV.WD.GD.ZS,-0.21004800388047312
WB_CC.PER.RNK,WTO_SERVICES_TRAVEL_EXPORTS,0.20590973811212923
WB_BX.KLT.DINV.WD.GD.ZS,WB_SE.ADT.LITR.ZS,-0.19058777724197573
WB_NE.TRD.GNFS.ZS,WB_SL.UEM.TOTL.ZS,0.18771630968098438
WB_IT.NET.SECR.P6,WTO_SERVICES_TRAVEL_EXPORTS,-0.1863739938347885
WB_IT.CEL.SETS.P2,WTO_SERVICES_TRAVEL_EXPORTS,0.18528533260245666
WB_NY.GDP.PCAP.KD.ZG,WB_SP.POP.GROW,0.1830244128531699
WB_SL.TLF.CACT.ZS,WTO_SERVICES_TOTAL_EXPORTS,0.16887725705056364
WB_IT.NET.SECR.P6,WTO_SERVICES_TRANSPORT_EXPORTS,-0.16579255485219363
WB_SP.POP.GROW,WTO_SERVICES_TRAVEL_EXPORTS,0.1652508603980568
WB_BX.KLT.DINV.WD.GD.ZS,WTO_SERVICES_TRAVEL_EXPORTS,0.16235727605470496
WB_PV.PER.RNK,WTO_SERVICES_TRANSPORT_EXPORTS,-0.15884154096006484
WB_PV.PER.RNK,WB_SP.POP.GROW,-0.1523942252631757
WB_IT.NET.SECR.P6,WTO_SERVICES_TOTAL_EXPORTS,-0.13933783645304962
WB_BX.KLT.DINV.WD.GD.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.12844220481927413
WB_AG.LND.AGRI.ZS,WB_SL.UEM.TOTL.ZS,0.11954671720298024
WB_SL.TLF.CACT.ZS,WTO_SERVICES_TRAVEL_EXPORTS,0.11671441546847537
WB_AG.LND.AGRI.ZS,WB_SP.POP.GROW,-0.1156306507423878
WB_NY.GDP.PCAP.KD.ZG,WB_SL.UEM.TOTL.ZS,-0.11359561015075736
WB_BX.KLT.DINV.WD.GD.ZS,WTO_SERVICES_TOTAL_EXPORTS,0.10985938799809551
WB_BX.KLT.DINV.WD.GD.ZS,WB_SL.TLF.CACT.ZS,-0.10655112186976128
WB_NY.GDP.PCAP.KD.ZG,WTO_SERVICES_TRANSPORT_EXPORTS,0.10645545521881324
WB_IT.NET.SECR.P6,WB_SP.POP.GROW,-0.0999014558490599
WB_BX.KLT.DINV.WD.GD.ZS,WB_PV.PER.RNK,-0.08466047317255936
WB_BX.KLT.DINV.WD.GD.ZS,WB_SL.UEM.TOTL.ZS,-0.08270655035802545
WB_BX.KLT.DINV.WD.GD.ZS,WB_IT.NET.USER.ZS,-0.07349092840720405
WB_NE.TRD.GNFS.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,-0.07146430608693881
WB_NY.GDP.PCAP.KD.ZG,WB_SE.ADT.LITR.ZS,-0.07144199157405522
WB_BX.KLT.DINV.WD.GD.ZS,WB_NY.GDP.PCAP.KD.ZG,0.049611516892460863
WB_NY.GDP.PCAP.KD.ZG,WTO_SERVICES_TOTAL_EXPORTS,-0.048278442223879205
WB_CC.PER.RNK,WTO_SERVICES_TRANSPORT_EXPORTS,-0.041643003823803204
WB_NY.GDP.PCAP.KD.ZG,WTO_SERVICES_TRAVEL_EXPORTS,-0.04035816365398461
WB_IT.NET.SECR.P6,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.039397742671183816
WB_CC.PER.RNK,WB_SP.POP.GROW,-0.03227053325480475
WB_SE.ADT.LITR.ZS,WTO_SERVICES_TRAVEL_EXPORTS,0.031346050980333814
WB_BX.KLT.DINV.WD.GD.ZS,WB_CC.PER.RNK,-0.02785210781359385
WB_BX.KLT.DINV.WD.GD.ZS,WB_SP.POP.GROW,0.02742573681421848
WB_BX.KLT.DINV.WD.GD.ZS,WB_IT.CEL.SETS.P2,-0.026934619004703276
WB_BX.KLT.DINV.WD.GD.ZS,WB_EG.CFT.ACCS.ZS,-0.02360302591316836
WB_PV.PER.RNK,WTO_SERVICES_TOTAL_EXPORTS,-0.02276340877765605
WB_PV.PER.RNK,WTO_SERVICES_TRAVEL_EXPORTS,-0.02177580817618784
WB_BX.KLT.DINV.WD.GD.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,0.01641905933964813
